"address","street_number","direction","street_name","street_type","complaints","neshaps_demolition_notices","enforcement","inspections","permits","tanks","holds","latitude","longitude","location"
"1748 W DIVISION ST","1748","W","DIVISION","ST","Y (https://data.cityofchicago.org/resource/fypr-ksnz.csv?street_number=1748%20and%20direction=%27W%27%20and%20street_name=%27DIVISION%27%20and%20street_type=%27ST%27)",,,,,,,"41.90338359204856","-87.67195871542872","POINT (-87.67195871542872 41.90338359204856)"
"1762 W AUGUSTA BLVD","1762","W","AUGUSTA","BLVD",,,,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=1762%20and%20direction=%27W%27%20and%20street_name=%27AUGUSTA%27%20and%20street_type=%27BLVD%27)",,,,"41.8997434161301","-87.67222426779118","POINT (-87.67222426779118 41.8997434161301)"
"1800 W MONROE ST","1800","W","MONROE","ST",,,,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=1800%20and%20direction=%27W%27%20and%20street_name=%27MONROE%27%20and%20street_type=%27ST%27)",,,,"41.880196639662834","-87.67177628643645","POINT (-87.67177628643645 41.880196639662834)"
"1801 N MAGNOLIA AVE","1801","N","MAGNOLIA","AVE",,,,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=1801%20and%20direction=%27N%27%20and%20street_name=%27MAGNOLIA%27%20and%20street_type=%27AVE%27)",,,,,,
"1801 W HURON ST","1801","W","HURON","ST",,,,,"Y (https://data.cityofchicago.org/resource/ir7v-8mc8.csv?street_number=1801%20and%20direction=%27W%27%20and%20street_name=%27HURON%27%20and%20street_type=%27ST%27)",,,"41.89406255532541","-87.67223334318203","POINT (-87.67223334318203 41.89406255532541)"
"1810 S PEORIA ST","1810","S","PEORIA","ST",,"Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=1810%20and%20direction=%27S%27%20and%20street_name=%27PEORIA%27%20and%20street_type=%27ST%27)",,,,,,"41.85767437491261","-87.64842428456167","POINT (-87.64842428456167 41.85767437491261)"
"1813 S RUBLE ST","1813","S","RUBLE","ST",,"Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=1813%20and%20direction=%27S%27%20and%20street_name=%27RUBLE%27%20and%20street_type=%27ST%27)",,,,,,"41.85725952104613","-87.64362409945046","POINT (-87.64362409945046 41.85725952104613)"
"1822 N SHEFFIELD AVE","1822","N","SHEFFIELD","AVE","Y (https://data.cityofchicago.org/resource/fypr-ksnz.csv?street_number=1822%20and%20direction=%27N%27%20and%20street_name=%27SHEFFIELD%27%20and%20street_type=%27AVE%27)","Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=1822%20and%20direction=%27N%27%20and%20street_name=%27SHEFFIELD%27%20and%20street_type=%27AVE%27)",,,"Y (https://data.cityofchicago.org/resource/ir7v-8mc8.csv?street_number=1822%20and%20direction=%27N%27%20and%20street_name=%27SHEFFIELD%27%20and%20street_type=%27AVE%27)",,,"41.91454940990113","-87.65338989501318","POINT (-87.65338989501318 41.91454940990113)"
"1824 W RACE AVE","1824","W","RACE","AVE",,"Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=1824%20and%20direction=%27W%27%20and%20street_name=%27RACE%27%20and%20street_type=%27AVE%27)",,"Y (https://data.cityofchicago.org/resource/i9rk-duva.csv?street_number=1824%20and%20direction=%27W%27%20and%20street_name=%27RACE%27%20and%20street_type=%27AVE%27)",,,,"41.89171898175734","-87.6730788596611","POINT (-87.6730788596611 41.89171898175734)"
"1831 W BALMORAL AVE","1831","W","BALMORAL","AVE",,"Y (https://data.cityofchicago.org/resource/qhb4-qx8k.csv?street_number=1831%20and%20direction=%27W%27%20and%20street_name=%27BALMORAL%27%20and%20street_type=%27AVE%27)",,,,,,"41.9796134848962","-87.67616864417117","POINT (-87.67616864417117 41.9796134848962)"
