"zip_code","week_number","week_start","week_end","cases_weekly","cases_cumulative","case_rate_weekly","case_rate_cumulative","tests_weekly","tests_cumulative","test_rate_weekly","test_rate_cumulative","percent_tested_positive_weekly","percent_tested_positive_cumulative","deaths_weekly","deaths_cumulative","death_rate_weekly","death_rate_cumulative","population","row_id","zip_code_location"
"60618","41","2021-10-10T00:00:00.000","2021-10-16T00:00:00.000","58","9848","61.4","10432.8","4794","193714","5078.7","205216.4","0.018","0.058","0","135","0","143","94395","60618-2021-41","POINT (-87.703343 41.946699)"
"60618","42","2021-10-17T00:00:00.000","2021-10-23T00:00:00.000","68","9916","72","10504.8","5333","199047","5649.7","210866","0.019","0.057","0","135","0","143","94395","60618-2021-42","POINT (-87.703343 41.946699)"
"60640","1","2023-12-31T00:00:00.000","2024-01-06T00:00:00.000","68","18675","97.5","26787.6","32","436631","45.9","626308.5","0.125","0.046","0","206","0","295.5","69715","60640-2023-1","POINT (-87.662232 41.971888)"
"60641","1","2023-12-31T00:00:00.000","2024-01-06T00:00:00.000","52","22858","73.2","32183.9","31","380395","43.6","535594.1","0.323","0.069","0","207","0","291.5","71023","60641-2023-1","POINT (-87.746791 41.946682)"
"60625","8","2024-02-18T00:00:00.000","2024-02-24T00:00:00.000","23","23540","29","29706.1","0","0","0","0","0","0","0","263","0","331.9","79243","60625-2024-8","POINT (-87.701816 41.971155)"
"60642","1","2023-12-31T00:00:00.000","2024-01-06T00:00:00.000","10","5816","49.5","28790.7","8","93513","39.6","462912.7","0","0.066","0","31","0","153.5","20201","60642-2023-1","POINT (-87.657821 41.899935)"
"60644","1","2023-12-31T00:00:00.000","2024-01-06T00:00:00.000","32","13489","67.1","28271.7","25","341130","52.4","714977.4","0.04","0.043","0","221","0","463.2","47712","60644-2023-1","POINT (-87.756863 41.881113)"
"60654","1","2023-12-31T00:00:00.000","2024-01-06T00:00:00.000","9","6209","47","32448.4","10","105012","52.3","548795.4","0.1","0.063","0","9","0","47","19135","60654-2023-1","POINT (-87.636354 41.892485)"
"60655","1","2023-12-31T00:00:00.000","2024-01-06T00:00:00.000","20","8913","69.4","30943.6","22","124494","76.4","432210.8","0.136","0.079","0","55","0","190.9","28804","60655-2023-1","POINT (-87.701434 41.696456)"
"60617","23","2020-05-31T00:00:00.000","2020-06-06T00:00:00.000","35","1115","42.4","1351","712","7465","862.7","9044.8","0.069","0.155","8","60","9.7","72.7","82534","60617-2020-23","POINT (-87.556897 41.721257)"
"60617","24","2020-06-07T00:00:00.000","2020-06-13T00:00:00.000","41","1156","49.7","1400.6","924","8389","1119.5","10164.3","0.065","0.145","2","62","2.4","75.1","82534","60617-2020-24","POINT (-87.556897 41.721257)"
