"case_","date_of_occurrence","block","_iucr","_primary_decsription","_secondary_description","_location_description","arrest","domestic","beat","ward","fbi_cd","x_coordinate","y_coordinate","latitude","longitude","location"
"JG249129","2023-05-05T14:43:00.000","014XX W MORSE AVE","0460","BATTERY","SIMPLE","SIDEWALK","N","N","2431","49","08B","1165415","1946171","42.007891611","-87.666745921","
,  
(42.007891611, -87.666745921)"
"JG249316","2023-05-05T14:45:00.000","051XX W JACKSON BLVD","0486","BATTERY","DOMESTIC BATTERY SIMPLE","NURSING / RETIREMENT HOME","N","Y","1533","28","08B","1142017","1898181","41.876670128","-87.754026367","
,  
(41.876670128, -87.754026367)"
"JG249282","2023-05-05T14:50:00.000","027XX N PULASKI RD","0530","ASSAULT","AGGRAVATED - OTHER DANGEROUS WEAPON","STREET","N","Y","2524","35","04A","1149248","1918087","41.931157196","-87.726959515","
,  
(41.931157196, -87.726959515)"
"JG249604","2023-05-05T14:50:00.000","010XX N HERMITAGE AVE","4387","OTHER OFFENSE","VIOLATE ORDER OF PROTECTION","APARTMENT","N","Y","1213","1","26","1164529","1907333","41.901337231","-87.671109886","
,  
(41.901337231, -87.671109886)"
"JG249191","2023-05-05T14:55:00.000","046XX W 82ND ST","1477","WEAPONS VIOLATION","RECKLESS FIREARM DISCHARGE","STREET","N","N","834","18","15","1146771","1849673","41.743467494","-87.737805181","
,  
(41.743467494, -87.737805181)"
"JG250349","2023-05-05T15:00:00.000","012XX W FARWELL AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","VEHICLE NON-COMMERCIAL","N","N","2431","49","14","1166611","1945765","42.006751902","-87.662357298","
,  
(42.006751902, -87.662357298)"
"JG256682","2023-05-05T15:00:00.000","005XX N MICHIGAN AVE","1130","DECEPTIVE PRACTICE","FRAUD OR CONFIDENCE GAME","STREET","N","N","1834","42","11","1177337","1904027","41.891984471","-87.62416567","
,  
(41.891984471, -87.62416567)"
"JG353080","2023-05-05T15:00:00.000","021XX W DEVON AVE","1206","DECEPTIVE PRACTICE","THEFT BY LESSEE, MOTOR VEHICLE","OTHER (SPECIFY)","N","N","2412","50","11","1160712","1942467","41.997826901","-87.684152612","
,  
(41.997826901, -87.684152612)"
"JG252483","2023-05-05T15:00:00.000","076XX S INGLESIDE AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","STREET","N","Y","624","8","08B","1183888","1854469","41.755842848","-87.601657055","
,  
(41.755842848, -87.601657055)"
"JG249576","2023-05-05T15:00:00.000","066XX S NORMAL BLVD","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","N","N","722","6","14","1174221","1860618","41.772936579","-87.636901718","
,  
(41.772936579, -87.636901718)"
"JG249444","2023-05-05T15:00:00.000","056XX W WASHINGTON BLVD","1152","DECEPTIVE PRACTICE","ILLEGAL USE CASH CARD","APARTMENT","N","N","1512","29","11","1138385","1900174","41.882205678","-87.767313865","
,  
(41.882205678, -87.767313865)"
"JG379791","2023-05-05T15:00:00.000","095XX S STONY ISLAND AVE","0820","THEFT","$500 AND UNDER","STREET","N","N","511","8","06","1188503","1842146","41.721918366","-87.585137009","
,  
(41.721918366, -87.585137009)"
"JG249147","2023-05-05T15:00:00.000","075XX S ASHLAND AVE","0860","THEFT","RETAIL THEFT","SMALL RETAIL STORE","Y","N","612","17","06","1166987","1854622","41.756640447","-87.663590843","
,  
(41.756640447, -87.663590843)"
"JG249216","2023-05-05T15:00:00.000","062XX S WINCHESTER AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","N","Y","714","16","08B","1164429","1863294","41.780491863","-87.672721366","
,  
(41.780491863, -87.672721366)"
"JG249195","2023-05-05T15:00:00.000","019XX E 71ST ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","SIDEWALK","N","N","333","5","07","1190355","1858247","41.766056625","-87.577835759","
,  
(41.766056625, -87.577835759)"
"JG249418","2023-05-05T15:00:00.000","012XX W LELAND AVE","0890","THEFT","FROM BUILDING","STREET","N","N","1913","46","06","1167324","1931353","41.967189655","-87.660150847","
,  
(41.967189655, -87.660150847)"
"JG252751","2023-05-05T15:00:00.000","072XX N SHERIDAN RD","0820","THEFT","$500 AND UNDER","NURSING / RETIREMENT HOME","N","N","2423","49","06","1166254","1948079","42.013109225","-87.663604147","
,  
(42.013109225, -87.663604147)"
"JG249213","2023-05-05T15:00:00.000","021XX N LEAMINGTON AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE - GARAGE","N","Y","2522","26","08B","1141708","1913670","41.919179476","-87.754777418","
,  
(41.919179476, -87.754777418)"
"JG267616","2023-05-05T15:05:00.000","085XX S Kostner Ave","0820","THEFT","$500 AND UNDER","RESIDENCE - PORCH / HALLWAY","N","N","834","18","06","1148579","1847539","41.737576885","-87.731235157","
,  
(41.737576885, -87.731235157)"
"JG249264","2023-05-05T15:06:00.000","093XX S CRANDON AVE","0820","THEFT","$500 AND UNDER","RESTAURANT","N","N","413","7","06","1193138","1843455","41.725398591","-87.568117427","
,  
(41.725398591, -87.568117427)"
"JG249183","2023-05-05T15:11:00.000","012XX S ALBANY AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","Y","Y","1022","24","08B","1155905","1894252","41.865619997","-87.703139583","
,  
(41.865619997, -87.703139583)"
"JG249172","2023-05-05T15:11:00.000","042XX W MADISON ST","5002","OTHER OFFENSE","OTHER VEHICLE OFFENSE","STREET","N","N","1115","28","26","1148036","1899674","41.880653484","-87.73188785","
,  
(41.880653484, -87.73188785)"
"JG249177","2023-05-05T15:15:00.000","070XX S PULASKI RD","0860","THEFT","RETAIL THEFT","SMALL RETAIL STORE","N","N","833","23","06","1150922","1857430","41.764674182","-87.722393601","
,  
(41.764674182, -87.722393601)"
"JG249215","2023-05-05T15:15:00.000","111XX S VINCENNES AVE","0460","BATTERY","SIMPLE","GAS STATION","Y","N","2234","21","08B","1166985","1830593","41.690701233","-87.664282585","
,  
(41.690701233, -87.664282585)"
"JG251365","2023-05-05T15:20:00.000","012XX W THORNDALE AVE","0460","BATTERY","SIMPLE","ALLEY","N","N","2013","48","08B","1166723","1939650","41.989969808","-87.662121593","
,  
(41.989969808, -87.662121593)"
"JG249212","2023-05-05T15:25:00.000","027XX N CLARK ST","0460","BATTERY","SIMPLE","DEPARTMENT STORE","N","N","1935","43","08B","1171615","1918633","41.932191946","-87.64474923","
,  
(41.932191946, -87.64474923)"
"JG249435","2023-05-05T15:26:00.000","053XX S HARPER AVE","0560","ASSAULT","SIMPLE","APARTMENT","N","Y","234","5","08A","1187183","1870246","41.799058715","-87.589081404","
,  
(41.799058715, -87.589081404)"
"JG272226","2023-05-05T15:28:00.000","009XX E 101ST ST","1185","DECEPTIVE PRACTICE","DECEPTIVE COLLECTION PRACTICES","APARTMENT","N","N","511","8","11","1184595","1838018","41.710682956","-87.599580066","
,  
(41.710682956, -87.599580066)"
"JG249328","2023-05-05T15:29:00.000","031XX S KOSTNER AVE","0460","BATTERY","SIMPLE","SCHOOL - PUBLIC BUILDING","N","N","1031","22","08B","1147562","1883379","41.835947057","-87.734045986","
,  
(41.835947057, -87.734045986)"
"JG249196","2023-05-05T15:30:00.000","033XX N WESTERN AVE","0460","BATTERY","SIMPLE","PARKING LOT / GARAGE (NON RESIDENTIAL)","N","N","1921","47","08B","1159751","1922187","41.94219754","-87.688249516","
,  
(41.94219754, -87.688249516)"
"JG249214","2023-05-05T15:30:00.000","066XX N DAMEN AVE","0430","BATTERY","AGGRAVATED - OTHER DANGEROUS WEAPON","ALLEY","N","N","2412","40","04B","1161751","1944144","42.00240696","-87.680283454","
,  
(42.00240696, -87.680283454)"
"JG249356","2023-05-05T15:30:00.000","076XX S CICERO AVE","0860","THEFT","RETAIL THEFT","DEPARTMENT STORE","N","N","833","18","06","1145727","1853720","41.754592961","-87.741528537","
,  
(41.754592961, -87.741528537)"
"JG280415","2023-05-05T15:30:00.000","007XX S OAKLEY BLVD","0820","THEFT","$500 AND UNDER","STREET","N","N","1225","28","06","1161163","1896959","41.872940721","-87.683761968","
,  
(41.872940721, -87.683761968)"
"JG249199","2023-05-05T15:30:00.000","014XX S ASHLAND AVE","0560","ASSAULT","SIMPLE","GROCERY FOOD STORE","N","N","1233","28","08A","1165959","1893057","41.862132355","-87.666264958","
,  
(41.862132355, -87.666264958)"
"JG249395","2023-05-05T15:30:00.000","050XX S KNOX AVE","1122","DECEPTIVE PRACTICE","COUNTERFEIT CHECK","APARTMENT","N","N","815","14","10","1146212","1870781","41.801402027","-87.739319238","
,  
(41.801402027, -87.739319238)"
"JG249397","2023-05-05T15:30:00.000","053XX W CHICAGO AVE","0560","ASSAULT","SIMPLE","BARBERSHOP","N","N","1524","37","08A","1140749","1904819","41.894909019","-87.758518869","
,  
(41.894909019, -87.758518869)"
"JG249999","2023-05-05T15:30:00.000","0000X E GRAND AVE","1150","DECEPTIVE PRACTICE","CREDIT CARD FRAUD","SMALL RETAIL STORE","N","N","1834","42","11","1176796","1903917","41.891694878","-87.626155832","
,  
(41.891694878, -87.626155832)"
"JG249204","2023-05-05T15:33:00.000","006XX N NOBLE ST","0460","BATTERY","SIMPLE","SIDEWALK","N","N","1215","1","08B","1166948","1904251","41.892828426","-87.662313236","
,  
(41.892828426, -87.662313236)"
"JG249268","2023-05-05T15:34:00.000","0000X S STATE ST","0860","THEFT","RETAIL THEFT","SMALL RETAIL STORE","N","N","112","34","06","1176389","1900258","41.881663579","-87.62776103","
,  
(41.881663579, -87.62776103)"
"JG252050","2023-05-05T15:35:00.000","051XX S LAKE PARK AVE","0860","THEFT","RETAIL THEFT","OTHER (SPECIFY)","N","N","234","4","06","1187537","1871358","41.802101704","-87.587747851","
,  
(41.802101704, -87.587747851)"
"JG256615","2023-05-05T15:36:00.000","041XX N BELL AVE","1752","OFFENSE INVOLVING CHILDREN","AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER","RESIDENCE","N","Y","1911","47","17","1160620","1927507","41.956777931","-87.684907624","
,  
(41.956777931, -87.684907624)"
"JG249246","2023-05-05T15:40:00.000","035XX S RHODES AVE","0460","BATTERY","SIMPLE","STREET","N","N","212","4","08B","1180161","1881775","41.830859172","-87.614478749","
,  
(41.830859172, -87.614478749)"
"JG249234","2023-05-05T15:44:00.000","009XX W MARQUETTE RD","0520","ASSAULT","AGGRAVATED - KNIFE / CUTTING INSTRUMENT","STREET","N","N","723","16","04A","1171273","1860409","41.772428059","-87.64771441","
,  
(41.772428059, -87.64771441)"
"JG249219","2023-05-05T15:46:00.000","039XX W 47TH ST","0860","THEFT","RETAIL THEFT","SMALL RETAIL STORE","N","N","821","14","06","1150702","1873176","41.807887928","-87.722790148","
,  
(41.807887928, -87.722790148)"
"JG249288","2023-05-05T15:50:00.000","023XX N HALSTED ST","1310","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT","N","N","1812","43","14","1170558","1915725","41.924235488","-87.648718863","
,  
(41.924235488, -87.648718863)"
"JG249208","2023-05-05T15:50:00.000","048XX N MARINE DR","0560","ASSAULT","SIMPLE","STREET","N","N","2024","46","08A","1169993","1932860","41.971266941","-87.650293145","
,  
(41.971266941, -87.650293145)"
"JG249346","2023-05-05T15:50:00.000","062XX S COTTAGE GROVE AVE","0560","ASSAULT","SIMPLE","HOSPITAL BUILDING / GROUNDS","N","N","313","20","08A","1182638","1863740","41.78131246","-87.605950633","
,  
(41.78131246, -87.605950633)"
"JG263098","2023-05-05T15:55:00.000","002XX S LA SALLE ST","0890","THEFT","FROM BUILDING","COMMERCIAL / BUSINESS OFFICE","N","N","122","34","06","1175171","1899118","41.878562742","-87.632267636","
,  
(41.878562742, -87.632267636)"
"JG249232","2023-05-05T15:55:00.000","040XX W ROOSEVELT RD","1320","CRIMINAL DAMAGE","TO VEHICLE","SIDEWALK","N","N","1011","24","14","1149749","1894406","41.866164375","-87.725734739","
,  
(41.866164375, -87.725734739)"
"JG256431","2023-05-05T15:56:00.000","008XX N FRANKLIN ST","0890","THEFT","FROM BUILDING","APARTMENT","N","N","1823","27","06","1174164","1906344","41.898413818","-87.635749401","
,  
(41.898413818, -87.635749401)"
"JG249247","2023-05-05T15:57:00.000","033XX W 13TH ST","0430","BATTERY","AGGRAVATED - OTHER DANGEROUS WEAPON","SIDEWALK","N","N","1021","24","04B","1154334","1893845","41.864534646","-87.708917701","
,  
(41.864534646, -87.708917701)"
"JG249298","2023-05-05T16:00:00.000","035XX W FULTON BLVD","1330","CRIMINAL TRESPASS","TO LAND","APARTMENT","N","N","1123","28","26","1152718","1901766","41.886302825","-87.714640454","
,  
(41.886302825, -87.714640454)"
"JG249266","2023-05-05T16:00:00.000","058XX S MICHIGAN AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","N","N","232","20","14","1178153","1866385","41.788673536","-87.622313305","
,  
(41.788673536, -87.622313305)"
"JG252335","2023-05-05T16:00:00.000","070XX N GLENWOOD AVE","0820","THEFT","$500 AND UNDER","STREET","N","N","2423","49","06","1165653","1947285","42.010943357","-87.665838312","
,  
(42.010943357, -87.665838312)"
"JG251050","2023-05-05T16:00:00.000","002XX W PERSHING RD","0820","THEFT","$500 AND UNDER","GAS STATION","N","N","925","3","06","1175195","1879099","41.823628586","-87.632779182","
,  
(41.823628586, -87.632779182)"
"JG249309","2023-05-05T16:00:00.000","035XX W PETERSON AVE","0810","THEFT","OVER $500","SIDEWALK","N","Y","1711","39","06","1151724","1939651","41.990281874","-87.717290919","
,  
(41.990281874, -87.717290919)"
"JG250019","2023-05-05T16:00:00.000","034XX W POTOMAC AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","N","N","1422","26","14","1153240","1908437","41.904598353","-87.712546284","
,  
(41.904598353, -87.712546284)"
"JG249270","2023-05-05T16:00:00.000","079XX S LAFAYETTE AVE","0820","THEFT","$500 AND UNDER","APARTMENT","N","Y","623","17","06","1177320","1852237","41.749868743","-87.625794343","
,  
(41.749868743, -87.625794343)"
"JG275868","2023-05-05T16:00:00.000","037XX S LAKE PARK AVE","1154","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT $300 AND UNDER","APARTMENT","N","N","212","4","11","1182542","1880728","41.827931127","-87.605775374","
,  
(41.827931127, -87.605775374)"
"JG252316","2023-05-05T16:00:00.000","039XX W MONTROSE AVE","0810","THEFT","OVER $500","STREET","N","N","1723","33","06","1149364","1928951","41.960966628","-87.726250468","
,  
(41.960966628, -87.726250468)"
"JG249339","2023-05-05T16:00:00.000","120XX S STATE ST","1710","OFFENSE INVOLVING CHILDREN","ENDANGERING LIFE / HEALTH OF CHILD","STREET","N","N","523","9","20","1178427","1824931","41.674912357","-87.622563823","
,  
(41.674912357, -87.622563823)"
"JG249280","2023-05-05T16:00:00.000","015XX N MOHAWK ST","0917","MOTOR VEHICLE THEFT","CYCLE, SCOOTER, BIKE WITH VIN","STREET","N","N","1821","2","07","1172379","1910463","41.909756218","-87.642183632","
,  
(41.909756218, -87.642183632)"
"JG254530","2023-05-05T16:00:00.000","025XX N LECLAIRE AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","APARTMENT","N","N","2521","31","07","1141967","1916239","41.926224283","-87.753762014","
,  
(41.926224283, -87.753762014)"
"JG338915","2023-05-05T16:00:00.000","031XX S HOMAN AVE","0915","MOTOR VEHICLE THEFT","TRUCK, BUS, MOTOR HOME","PARKING LOT / GARAGE (NON RESIDENTIAL)","N","N","1032","22","07","1154190","1883844","41.837093606","-87.709712948","
,  
(41.837093606, -87.709712948)"
"JG249245","2023-05-05T16:01:00.000","127XX S HALSTED ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","STREET","N","Y","523","9","08B","1173327","1820095","41.661755494","-87.641372764","
,  
(41.661755494, -87.641372764)"
"JG249284","2023-05-05T16:08:00.000","008XX W SHERIDAN RD","1350","CRIMINAL TRESPASS","TO STATE SUP LAND","SCHOOL - PUBLIC GROUNDS","N","N","1923","46","26","1169949","1926105","41.952731972","-87.650652832","
,  
(41.952731972, -87.650652832)"
"JG249285","2023-05-05T16:10:00.000","057XX S KEDZIE AVE","0460","BATTERY","SIMPLE","RESTAURANT","N","N","824","14","08B","1156029","1866379","41.78913051","-87.703434602","
,  
(41.78913051, -87.703434602)"
"JG249259","2023-05-05T16:11:00.000","075XX S HARVARD AVE","0560","ASSAULT","SIMPLE","SCHOOL - PUBLIC GROUNDS","N","N","623","6","08A","1175373","1854974","41.757423116","-87.632847291","
,  
(41.757423116, -87.632847291)"
"JG249292","2023-05-05T16:12:00.000","051XX S LAFLIN ST","1310","CRIMINAL DAMAGE","TO PROPERTY","ALLEY","N","N","934","16","14","1167210","1870531","41.800291982","-87.662318638","
,  
(41.800291982, -87.662318638)"
"JG249278","2023-05-05T16:13:00.000","056XX S JUSTINE ST","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","N","N","713","16","14","1166972","1867275","41.791362228","-87.663284529","
,  
(41.791362228, -87.663284529)"
"JG252376","2023-05-05T16:15:00.000","0000X E 115TH ST","0560","ASSAULT","SIMPLE","SCHOOL - PUBLIC BUILDING","N","N","531","9","08A","1178538","1828729","41.685332125","-87.622042783","
,  
(41.685332125, -87.622042783)"
"JG267552","2023-05-05T16:20:00.000","015XX N CLAREMONT AVE","0890","THEFT","FROM BUILDING","RESIDENCE - PORCH / HALLWAY","N","N","1424","1","06","1160461","1910204","41.909300678","-87.685972459","
,  
(41.909300678, -87.685972459)"
"JG249391","2023-05-05T16:20:00.000","006XX W FULTON MARKET","0560","ASSAULT","SIMPLE","APARTMENT","N","N","1214","34","08A","1171726","1902093","41.886802862","-87.644829218","
,  
(41.886802862, -87.644829218)"
"JG249304","2023-05-05T16:28:00.000","033XX S DR MARTIN LUTHER KING JR DR","0860","THEFT","RETAIL THEFT","STREET","Y","N","211","4","06","1179464","1882682","41.833364024","-87.617008302","
,  
(41.833364024, -87.617008302)"
"JG258233","2023-05-05T16:30:00.000","038XX S DR MARTIN LUTHER KING JR DR","0560","ASSAULT","SIMPLE","GROCERY FOOD STORE","N","N","212","4","08A","1179489","1879516","41.824675709","-87.617013434","
,  
(41.824675709, -87.617013434)"
"JG249448","2023-05-05T16:30:00.000","020XX E 69TH ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","N","Y","331","5","08B","1191221","1859626","41.769819793","-87.574617034","
,  
(41.769819793, -87.574617034)"
"JG249642","2023-05-05T16:30:00.000","062XX S INGLESIDE AVE","0460","BATTERY","SIMPLE","ALLEY","N","N","313","20","08B","1183522","1863846","41.781582768","-87.602706429","
,  
(41.781582768, -87.602706429)"
"JG252185","2023-05-05T16:30:00.000","050XX N LINCOLN AVE","0810","THEFT","OVER $500","STREET","N","N","2031","40","06","1158765","1933503","41.973269584","-87.691562024","
,  
(41.973269584, -87.691562024)"
"JG249350","2023-05-05T16:35:00.000","044XX W VAN BUREN ST","143A","WEAPONS VIOLATION","UNLAWFUL POSSESSION - HANDGUN","STREET","Y","N","1131","28","15","1146829","1897653","41.875130749","-87.736371509","
,  
(41.875130749, -87.736371509)"
"JG249355","2023-05-05T16:39:00.000","053XX S COTTAGE GROVE AVE","0560","ASSAULT","SIMPLE","APARTMENT","N","Y","233","20","08A","1182491","1869797","41.797936811","-87.606301777","
,  
(41.797936811, -87.606301777)"
"JG249407","2023-05-05T16:40:00.000","062XX S EMERALD DR","1755","OFFENSE INVOLVING CHILDREN","CHILD ABANDONMENT","GOVERNMENT BUILDING / PROPERTY","Y","Y","711","16","20","1172179","1863746","41.781565307","-87.644295268","
,  
(41.781565307, -87.644295268)"
"JG249313","2023-05-05T16:42:00.000","001XX E 36TH ST","143A","WEAPONS VIOLATION","UNLAWFUL POSSESSION - HANDGUN","SIDEWALK","Y","N","212","3","15","1177975","1881304","41.829616628","-87.62251352","
,  
(41.829616628, -87.62251352)"
"JG249410","2023-05-05T16:45:00.000","022XX S SAWYER AVE","0470","PUBLIC PEACE VIOLATION","RECKLESS CONDUCT","SIDEWALK","Y","N","1024","24","24","1155041","1888959","41.851112775","-87.706453256","
,  
(41.851112775, -87.706453256)"
"JG249333","2023-05-05T16:46:00.000","001XX E CHICAGO AVE","0860","THEFT","RETAIL THEFT","DEPARTMENT STORE","Y","N","1833","2","06","1177003","1905748","41.896714548","-87.625340136","
,  
(41.896714548, -87.625340136)"
"JG255990","2023-05-05T16:48:00.000","014XX W 113TH PL","1152","DECEPTIVE PRACTICE","ILLEGAL USE CASH CARD","RESIDENCE","N","N","2234","21","11","1168838","1829449","41.687522213","-87.657531474","
,  
(41.687522213, -87.657531474)"
"JG249326","2023-05-05T16:50:00.000","015XX W 63RD ST","143A","WEAPONS VIOLATION","UNLAWFUL POSSESSION - HANDGUN","STREET","Y","N","713","16","15","1167167","1862952","41.779495212","-87.662693143","
,  
(41.779495212, -87.662693143)"
"JG249455","2023-05-05T16:50:00.000","032XX N KILDARE AVE","0460","BATTERY","SIMPLE","VACANT LOT / LAND","N","N","1731","30","08B","1147143","1921405","41.940302675","-87.734609904","
,  
(41.940302675, -87.734609904)"
"JG249332","2023-05-05T16:50:00.000","027XX N MASON AVE","0479","BATTERY","AGGRAVATED - HANDS, FISTS, FEET, SERIOUS INJURY","SIDEWALK","N","N","2514","30","04B","1136259","1917512","41.929821492","-87.774706058","
,  
(41.929821492, -87.774706058)"
"JG249505","2023-05-05T16:55:00.000","098XX S AVENUE J","0454","BATTERY","AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY","APARTMENT","Y","Y","432","10","08B","1202459","1840490","41.717029967","-87.534075929","
,  
(41.717029967, -87.534075929)"
"JG249342","2023-05-05T16:58:00.000","010XX S PULASKI RD","2027","NARCOTICS","POSSESS - CRACK","ALLEY","Y","N","1132","24","18","1149871","1895213","41.868376507","-87.725265878","
,  
(41.868376507, -87.725265878)"
"JG253940","2023-05-05T17:00:00.000","030XX W MEDILL AVE","0810","THEFT","OVER $500","STREET","N","N","1414","35","06","1155823","1915451","41.923793666","-87.702868756","
,  
(41.923793666, -87.702868756)"
"JG249392","2023-05-05T17:00:00.000","086XX S COTTAGE GROVE AVE","0560","ASSAULT","SIMPLE","SMALL RETAIL STORE","N","N","632","6","08A","1183075","1847768","41.737473519","-87.604844389","
,  
(41.737473519, -87.604844389)"
"JG249929","2023-05-05T17:00:00.000","053XX S BLACKSTONE AVE","0560","ASSAULT","SIMPLE","RESIDENCE - PORCH / HALLWAY","N","N","234","5","08A","1186816","1870237","41.79904273","-87.590427544","
,  
(41.79904273, -87.590427544)"
"JG249983","2023-05-05T17:00:00.000","052XX S MAY ST","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","N","N","934","20","07","1169543","1870003","41.798792796","-87.653778131","
,  
(41.798792796, -87.653778131)"
"JG261373","2023-05-05T17:00:00.000","066XX N ARTESIAN AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","ALLEY","N","N","2412","50","14","1158780","1944016","42.002117385","-87.691217022","
,  
(42.002117385, -87.691217022)"
"JG252286","2023-05-05T17:00:00.000","079XX S RIDGELAND AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","STREET","Y","Y","414","8","08B","1189357","1852781","41.75108144","-87.581668774","
,  
(41.75108144, -87.581668774)"
"JG249422","2023-05-05T17:00:00.000","062XX S WESTERN AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT","N","N","825","16","14","1161443","1863213","41.780332016","-87.683670856","
,  
(41.780332016, -87.683670856)"
"JG249329","2023-05-05T17:02:00.000","011XX W 80TH ST","0326","ROBBERY","AGGRAVATED VEHICULAR HIJACKING","STREET","N","N","612","17","03","1170219","1851755","41.748703363","-87.651829389","
,  
(41.748703363, -87.651829389)"
"JG249340","2023-05-05T17:03:00.000","005XX S CENTRAL AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","PARK PROPERTY","N","N","1513","29","14","1139141","1897035","41.873578134","-87.764614167","
,  
(41.873578134, -87.764614167)"
"JG309453","2023-05-05T17:05:00.000","086XX S DORCHESTER AVE","1120","DECEPTIVE PRACTICE","FORGERY",,"N","N","412","8","10","1187041","1848019","41.738069247","-87.590306308","
,  
(41.738069247, -87.590306308)"
"JG249370","2023-05-05T17:11:00.000","029XX N ASHLAND AVE","0860","THEFT","RETAIL THEFT","SMALL RETAIL STORE","Y","N","1931","32","06","1165142","1919763","41.935432921","-87.668504341","
,  
(41.935432921, -87.668504341)"
"JG249454","2023-05-05T17:14:00.000","015XX N KOLIN AVE","0460","BATTERY","SIMPLE","SIDEWALK","N","N","2534","36","08B","1147096","1909855","41.908609283","-87.735078813","
,  
(41.908609283, -87.735078813)"
"JG249566","2023-05-05T17:15:00.000","004XX N DEARBORN ST","1220","DECEPTIVE PRACTICE","THEFT OF LOST / MISLAID PROPERTY","STREET","N","N","1831","42","11","1175865","1903147","41.889602962","-87.629598125","
,  
(41.889602962, -87.629598125)"
"JG249353","2023-05-05T17:16:00.000","052XX W FERDINAND ST","143A","WEAPONS VIOLATION","UNLAWFUL POSSESSION - HANDGUN","SIDEWALK","Y","N","1523","37","15","1141411","1902646","41.888933848","-87.756141175","
,  
(41.888933848, -87.756141175)"
"JG249663","2023-05-05T17:17:00.000","015XX N CLYBOURN AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","PARKING LOT / GARAGE (NON RESIDENTIAL)","N","N","1822","27","14","1171164","1910126","41.90885825","-87.646656908","
,  
(41.90885825, -87.646656908)"
"JG249416","2023-05-05T17:18:00.000","006XX N CLARK ST","3730","INTERFERENCE WITH PUBLIC OFFICER","OBSTRUCTING JUSTICE","STREET","Y","N","1832","42","24","1175423","1904617","41.893646656","-87.631177143","
,  
(41.893646656, -87.631177143)"
"JG249357","2023-05-05T17:20:00.000","051XX S PULASKI RD","1320","CRIMINAL DAMAGE","TO VEHICLE","PARKING LOT / GARAGE (NON RESIDENTIAL)","N","N","815","23","14","1150570","1870231","41.799808989","-87.723350952","
,  
(41.799808989, -87.723350952)"
"JG250011","2023-05-05T17:22:00.000","072XX S EUCLID AVE","0820","THEFT","$500 AND UNDER","RESIDENCE - PORCH / HALLWAY","N","N","333","5","06","1190294","1857379","41.763676232","-87.578087276","
,  
(41.763676232, -87.578087276)"
"JG249379","2023-05-05T17:29:00.000","003XX N CLARK ST","0460","BATTERY","SIMPLE","STREET","N","N","1831","42","08B","1175481","1902452","41.887704477","-87.631029211","
,  
(41.887704477, -87.631029211)"
"JG252186","2023-05-05T17:30:00.000","017XX N DAMEN AVE","0860","THEFT","RETAIL THEFT","SMALL RETAIL STORE","N","N","1434","32","06","1162754","1911438","41.912639064","-87.677514345","
,  
(41.912639064, -87.677514345)"
"JG250123","2023-05-05T17:30:00.000","004XX N WABASH AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","N","N","1834","42","07","1176659","1903440","41.890389063","-87.626673392","
,  
(41.890389063, -87.626673392)"
"JG249460","2023-05-05T17:30:00.000","002XX E 101ST ST","0810","THEFT","OVER $500","APARTMENT","N","N","511","9","06","1179568","1838053","41.710895077","-87.617988731","
,  
(41.710895077, -87.617988731)"
"JG249442","2023-05-05T17:30:00.000","061XX S MASON AVE","0560","ASSAULT","SIMPLE","RESIDENCE","N","N","812","13","08A","1137792","1863196","41.780742982","-87.77038122","
,  
(41.780742982, -87.77038122)"
"JG249440","2023-05-05T17:30:00.000","007XX N WILLARD CT","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","N","N","1215","27","14","1167972","1905287","41.895649244","-87.658522576","
,  
(41.895649244, -87.658522576)"
"JG255750","2023-05-05T17:30:00.000","004XX W BARRY AVE","0890","THEFT","FROM BUILDING","APARTMENT","N","N","1934","44","06","1172724","1920656","41.937718623","-87.640613767","
,  
(41.937718623, -87.640613767)"
