"case_","date_of_occurrence","block","_iucr","_primary_decsription","_secondary_description","_location_description","arrest","domestic","beat","ward","fbi_cd","x_coordinate","y_coordinate","latitude","longitude","location"
"JG248628","2023-05-05T07:30:00.000","047XX S DREXEL BLVD","1310","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT","N","Y","223","4","14","1182985","1873871","41.809104714","-87.604363507","
,  
(41.809104714, -87.604363507)"
"JG248652","2023-05-05T07:35:00.000","001XX S MICHIGAN AVE","0860","THEFT","RETAIL THEFT","CONVENIENCE STORE","N","N","112","34","06","1177321","1899793","41.880366516","-87.6243529","
,  
(41.880366516, -87.6243529)"
"JG248664","2023-05-05T07:40:00.000","011XX E 62ND ST","0820","THEFT","$500 AND UNDER","STREET","N","N","314","20","06","1184692","1864124","41.782318263","-87.598408275","
,  
(41.782318263, -87.598408275)"
"JG248981","2023-05-05T07:48:00.000","001XX W DIVISION ST","0860","THEFT","RETAIL THEFT","GROCERY FOOD STORE","Y","N","1821","2","06","1175207","1908349","41.903892302","-87.631858359","
,  
(41.903892302, -87.631858359)"
"JG248704","2023-05-05T07:50:00.000","047XX W FOSTER AVE","0820","THEFT","$500 AND UNDER","PARKING LOT / GARAGE (NON RESIDENTIAL)","N","N","1712","39","06","1143997","1934162","41.975368669","-87.745851197","
,  
(41.975368669, -87.745851197)"
"JG248739","2023-05-05T07:58:00.000","012XX N STATE PKWY","0860","THEFT","RETAIL THEFT","DRUG STORE","Y","N","1824","2","06","1176070","1908457","41.90416925","-87.628685126","
,  
(41.90416925, -87.628685126)"
"JG446393","2023-05-05T08:00:00.000","084XX S CREGIER AVE","1153","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT OVER $ 300","APARTMENT","N","N","412","8","11","1189664","1849182","41.741198085","-87.580659153","
,  
(41.741198085, -87.580659153)"
"JG248657","2023-05-05T08:00:00.000","035XX W 59TH PL","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","N","N","822","14","07","1153644","1864930","41.785201856","-87.712218073","
,  
(41.785201856, -87.712218073)"
"JG249254","2023-05-05T08:00:00.000","004XX W 32ND ST","0610","BURGLARY","FORCIBLE ENTRY","RESIDENCE","N","N","915","11","05","1173960","1883723","41.836344788","-87.637172456","
,  
(41.836344788, -87.637172456)"
"JG248655","2023-05-05T08:04:00.000","061XX S EVANS AVE","143A","WEAPONS VIOLATION","UNLAWFUL POSSESSION - HANDGUN","RESIDENCE - PORCH / HALLWAY","Y","N","313","20","15","1182278","1864461","41.783299299","-87.607248137","
,  
(41.783299299, -87.607248137)"
"JG248695","2023-05-05T08:05:00.000","034XX S INDIANA AVE","0460","BATTERY","SIMPLE","RESIDENCE","N","N","211","3","08B","1178164","1882278","41.832285066","-87.62179049","
,  
(41.832285066, -87.62179049)"
"JG248674","2023-05-05T08:15:00.000","054XX N LINDER AVE","0460","BATTERY","SIMPLE","SCHOOL - PUBLIC GROUNDS","N","N","1623","45","08B","1138518","1935779","41.979907192","-87.765960292","
,  
(41.979907192, -87.765960292)"
"JG248921","2023-05-05T08:16:00.000","012XX N DEARBORN ST","0860","THEFT","RETAIL THEFT","DRUG STORE","Y","N","1824","2","06","1175711","1908536","41.904394115","-87.630001432","
,  
(41.904394115, -87.630001432)"
"JG248673","2023-05-05T08:20:00.000","122XX S GREEN ST","0630","BURGLARY","ATTEMPT FORCIBLE ENTRY","RESIDENCE","N","N","524","21","05","1172875","1823694","41.671641702","-87.642921313","
,  
(41.671641702, -87.642921313)"
"JG248840","2023-05-05T08:30:00.000","034XX W 82ND ST","0810","THEFT","OVER $500","STREET","N","N","834","18","06","1154861","1850009","41.744232073","-87.708153588","
,  
(41.744232073, -87.708153588)"
"JG251412","2023-05-05T08:30:00.000","064XX S MARYLAND AVE","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","N","N","312","20","14","1183003","1862557","41.778057719","-87.60464923","
,  
(41.778057719, -87.60464923)"
